global_step,grad_norm,loss,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
4905,,,0.6653470311846051,0.3514912128448486,0.64561841081352,0.3650760339362338,3554.0,0.664123449935423,0.3676490900870043,3581.0,1342.8242871761322,1648.1728692054749,1342.8242871761322,303.2913839817047,1.895543098449707,0.0
5000,0.5863972,0.38326055,,,,,,,,,,,,,,
5248,,,0.6708498001098633,0.3520136220114572,0.6489958497467642,0.3684621627369689,3554.0,0.6694214583042446,0.3688955639900691,3581.0,1422.9840989112854,1732.447590589523,1422.9840989112854,307.3713519573212,1.9193601608276367,0.0
5500,0.7291594,0.33230105,,,,,,,,,,,,,,
5590,,,0.6922506604875837,0.3264599527631487,0.6710058071671005,0.3425265834381155,3554.0,0.6898877512173625,0.3439827551225216,3581.0,1503.2096762657166,1816.787897825241,1503.2096762657166,311.45024824142456,1.9439237117767327,0.0
5935,,,0.6915489605494908,0.3258961950029646,0.6720874724122468,0.3403391754888857,3554.0,0.6886240286189262,0.3429543101830843,3581.0,1583.3000586032867,1900.997116804123,1583.3000586032867,315.53320384025574,1.9686098098754885,0.0
6000,1.018606,0.35605875,,,,,,,,,,,,,,
6279,,,0.6827113287789481,0.3263489518846784,0.6644571505038337,0.3393351351470174,3554.0,0.679902597367181,0.3425717709351438,3581.0,1663.4383721351624,1985.25430560112,1663.4383721351624,319.615159034729,1.9941308498382568,0.0
6500,1.0982374,0.2894749,,,,,,,,,,,,,,
6620,,,0.6942142759050641,0.3201151234763009,0.6729431324080262,0.3357206311330543,3554.0,0.6910602534426487,0.3376295765629363,3581.0,1743.524890422821,2069.459572553634,1743.524890422821,323.697110414505,2.0196685791015625,0.0
6965,,,0.6881542205810547,0.320655345916748,0.6688580016574635,0.3350726005798923,3554.0,0.6859649342886065,0.3368207627386728,3581.0,1823.6596791744232,2153.7145211696625,1823.6596791744232,327.78135919570923,2.043970823287964,0.0
7000,1.1244167,0.25489384,,,,,,,,,,,,,,
7308,,,0.7048061234610421,0.3071097987038748,0.6855905647685706,0.3214760492139139,3554.0,0.7026273103707065,0.3232128715355347,3581.0,1903.6242208480835,2237.794389486313,1903.6242208480835,331.8610556125641,2.06844449043274,0.0
7500,2.024531,0.26819044,,,,,,,,,,,,,,
7650,,,0.6847177233014788,0.3167929989950998,0.6678600064408061,0.3306838396766847,3554.0,0.6833311334997207,0.3325644937582903,3581.0,1983.763234615326,2322.044536590576,1983.763234615326,335.93618750572205,2.093205451965332,0.0
7993,,,0.6866519791739327,0.3241401059286935,0.6666358685855726,0.3389747632509144,3554.0,0.6856431404461044,0.3397142825197221,3581.0,2063.8075716495514,2406.207102537155,2063.8075716495514,340.015881061554,2.120331048965454,0.0
8000,1.457523,0.32267976,,,,,,,,,,,,,,
8338,,,0.6852708544049945,0.3377833025796072,0.667152245928883,0.3515215923629185,3554.0,0.6865194832536303,0.3524181852790771,3581.0,2143.988758563996,2490.5078914165497,2143.988758563996,344.0975978374481,2.146751880645752,0.0
8500,1.6442974,0.39929762,,,,,,,,,,,,,,
8679,,,0.6930832181658063,0.3212416512625558,0.6728451052071609,0.3365159772659327,3554.0,0.6914900391170413,0.3377424771144582,3581.0,2224.0184609889984,2574.654369115829,2224.0184609889984,348.17724418640137,2.172450304031372,0.0
9000,2.0860176,0.31367043,,,,,,,,,,,,,,
9024,,,0.6990975652422223,0.3080259731837681,0.6799613166942178,0.3214574673233504,3554.0,0.6964878656450713,0.3238336882155822,3581.0,2304.084724187851,2658.836282968521,2304.084724187851,352.2571003437042,2.1969664096832275,0.0
9370,,,0.6740719931466239,0.3243274688720703,0.6582480512714547,0.336620667843451,3554.0,0.6718602738411058,0.3397060672320057,3581.0,2384.102342605591,2742.970483779907,2384.102342605591,356.3378036022186,2.221338987350464,0.0
9500,1.5321308,0.33244768,,,,,,,,,,,,,,
9713,,,0.7021145139421735,0.3048257827758789,0.68247423402768,0.3186445263039885,3554.0,0.6999885326855277,0.3205737870553791,3581.0,2464.2618293762207,2827.246552944184,2464.2618293762207,360.4173436164856,2.2472472190856934,0.0
10000,0.81468976,0.31481692,,,,,,,,,,,,,,
10057,,,0.6976148060389927,0.3128412791660854,0.6770937291168402,0.3279117719471018,3554.0,0.6955901153658196,0.3290830184480592,3581.0,2544.455833673477,2911.5550112724304,2544.455833673477,364.4953558444977,2.272114992141724,0.0
10401,,,0.6992499487740653,0.3080408232552664,0.6795795807760622,0.3217317648798009,3554.0,0.6966854416102346,0.3239667349705913,3581.0,2624.603499174118,2995.8190972805023,2624.603499174118,368.57480096817017,2.297590732574463,0.0
10500,0.8403361,0.39948702,,,,,,,,,,,,,,
10744,,,0.7032818113054548,0.3027573994227818,0.6851500949634215,0.3162838018671743,3554.0,0.701321931832065,0.3189143671133237,3581.0,2704.7348926067352,3080.0698778629303,2704.7348926067352,372.6585621833801,2.3221020698547363,0.0
11000,1.5469072,0.3427106,,,,,,,,,,,,,,
11089,,,0.7112415177481515,0.3023655755179269,0.6919525781909468,0.3159400197180993,3554.0,0.7087210767331052,0.318136607758395,3581.0,2784.773338317871,3164.228436470032,2784.773338317871,376.74215722084045,2.347202777862549,0.0
11433,,,0.7111710139683315,0.3007957254137312,0.6909309520302828,0.3151605763862021,3554.0,0.7085102063189402,0.3168569318211568,3581.0,2864.79610657692,3248.371194601059,2864.79610657692,380.8255722522736,2.3724961280822754,0.0
11500,1.0750703,0.30198792,,,,,,,,,,,,,,
11779,,,0.7117915153503418,0.302823645727975,0.6921094766680149,0.3164991251055149,3554.0,0.7092840796041608,0.3188326573844596,3581.0,2944.8527433872223,3332.5409502983093,2944.8527433872223,384.9023597240448,2.397213697433472,0.0
12000,0.9834127,0.3324746,,,,,,,,,,,,,,
12125,,,0.7102325303213937,0.3034561020987374,0.6899962932391319,0.3174820418564469,3554.0,0.7076669291922647,0.3195293887771397,3581.0,3025.0234022140503,3416.8280007839203,3025.0234022140503,388.9817404747009,2.422879219055176,0.0
