global_step,grad_norm,loss,train/loss,validation/loss,validation/num_examples,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
4161,,,0.1298518533226829,0.1305544427894804,83274637.0,0.1328722504728618,95000000.0,2914.198286294937,9095.024054288864,2914.198286294937,6180.116861343384,0.5731680393218994,0.0
4335,,,0.1281445427979313,0.1302833841645866,83274637.0,0.1325437874588815,95000000.0,3034.7467846870422,9368.88055038452,3034.7467846870422,6333.396206855774,0.5960559844970703,0.0
4500,0.0020384027,0.13808218,,,,,,,,,,,
4505,,,0.1296400348158002,0.130453286820917,83274637.0,0.1327566654810855,95000000.0,3155.732577085495,9640.360978126526,3155.732577085495,6483.859271764755,0.6221106052398682,0.0
4674,,,0.1274143419925521,0.1302821550801236,83274637.0,0.1325911585115131,95000000.0,3276.329290866852,9911.314411640167,3276.329290866852,6634.179695606232,0.6527330875396729,0.0
4842,,,0.1304079058972544,0.1300707495972783,83274637.0,0.1323440512129934,95000000.0,3396.4643602371216,10174.89155459404,3396.4643602371216,6777.589445590973,0.6794803142547607,0.0
5000,0.004519722,0.13184889,,,,,,,,,,,
5011,,,0.1290480261141399,0.1299472426982029,83274637.0,0.1323533159333881,95000000.0,3516.81751871109,10447.511914730072,3516.81751871109,6929.828325033188,0.7022745609283447,0.0
5183,,,0.1282589551319116,0.1301382585695029,83274637.0,0.1325210776418585,95000000.0,3636.951140403748,10718.343326330183,3636.951140403748,7080.494361877441,0.728309154510498,0.0
5357,,,0.1300322749423531,0.1299739684601537,83274637.0,0.1323541123149671,95000000.0,3757.4322624206543,10992.948665618896,3757.4322624206543,7234.588553190231,0.7525970935821533,0.0
5500,0.010643321,0.12811911,,,,,,,,,,,
5527,,,0.1288842977311626,0.1300954086848046,83274637.0,0.1325078114000822,95000000.0,3878.0917840003967,11264.135138750076,3878.0917840003967,7385.087574720383,0.7748117446899414,0.0
5696,,,0.1263999863521857,0.1298547640134114,83274637.0,0.1322871748663651,95000000.0,3998.095972299576,11533.912237644196,3998.095972299576,7534.83292889595,0.7966806888580322,0.0
5872,,,0.1278943569405274,0.1298379614596819,83274637.0,0.1322498053145559,95000000.0,4118.5652804374695,11800.842785358427,4118.5652804374695,7681.263945817947,0.8210937976837158,0.0
6000,0.0036536867,0.13516982,,,,,,,,,,,
6041,,,0.1289287967220792,0.1298157396200958,83274637.0,0.132146971926398,95000000.0,4238.614892244339,12067.472588300703,4238.614892244339,7827.815846443176,0.843940258026123,0.0
6210,,,0.128617396097888,0.1300572757318804,83274637.0,0.1325409235814144,95000000.0,4358.745446205139,12334.08301281929,4358.745446205139,7974.265251874924,0.868908166885376,0.0
6379,,,0.1279096080915732,0.1299197248001813,83274637.0,0.1323423482113487,95000000.0,4479.70954990387,12602.78704380989,4479.70954990387,8121.973530769348,0.89485764503479,0.0
6500,0.0041764593,0.12885693,,,,,,,,,,,
6552,,,0.1303062776349625,0.1302447102212376,83274637.0,0.132732427446546,95000000.0,4600.250163555145,12870.417716026306,4600.250163555145,8269.034720659256,0.9180853366851808,0.0
6720,,,0.1284102715504994,0.1297639618219681,83274637.0,0.1321455902138157,95000000.0,4720.76885509491,13142.409147262571,4720.76885509491,8420.47728729248,0.9425745010375975,0.0
6896,,,0.1268720833479233,0.1297937050374053,83274637.0,0.1321070190378289,95000000.0,4841.014019012451,13411.612874031069,4841.014019012451,8569.393094301224,0.979358434677124,0.0
7000,0.05359688,0.12996776,,,,,,,,,,,
7067,,,0.1302927586736169,0.129801420706358,83274637.0,0.1321848359375,95000000.0,4961.712739467621,13679.959724903109,4961.712739467621,8717.011936903,1.0031108856201172,0.0
7237,,,0.1276434476739205,0.1296650376441298,83274637.0,0.131983241118421,95000000.0,5081.772540807724,13951.153629541395,5081.772540807724,8868.114108800888,1.0293889045715332,0.0
7406,,,0.1273690264367457,0.1297228277395553,83274637.0,0.1319949220497533,95000000.0,5201.973747730255,14218.333938837051,5201.973747730255,9015.061503648758,1.0553011894226074,0.0
7500,0.013762752,0.13018511,,,,,,,,,,,
7580,,,0.1295881019729488,0.1296612333082731,83274637.0,0.1319666458367598,95000000.0,5322.135422706604,14487.41438627243,5322.135422706604,9163.952250003817,1.0776252746582031,0.0
7750,,,0.1269716133111677,0.1296560050319553,83274637.0,0.1319684341488486,95000000.0,5443.70708322525,14754.494647026062,5443.70708322525,9309.432745933533,1.1001296043395996,0.0
7925,,,0.1293157176963938,0.1297070415423276,83274637.0,0.132074956692023,95000000.0,5564.062667131424,15025.216032981873,5564.062667131424,9459.76985168457,1.1230103969573977,0.0
8000,0.017998587,0.123891935,,,,,,,,,,,
8094,,,0.129429170873555,0.1297003960803065,83274637.0,0.13206532890625,95000000.0,5684.995863676071,15293.402150630953,5684.995863676071,9606.992738962172,1.147623062133789,0.0
8267,,,0.1280457995035363,0.1297003960803065,83274637.0,0.13206532890625,95000000.0,5805.917500972748,15553.625880718231,5805.917500972748,9746.265315294266,1.171464204788208,0.0
8437,,,0.1287734824344047,0.1297003960803065,83274637.0,0.13206532890625,95000000.0,5926.237798452377,15820.95489358902,5926.237798452377,9893.24407339096,1.1957948207855225,0.0
8500,0.010881575,0.13408431,,,,,,,,,,,
8605,,,0.1300236970748541,0.1297003960803065,83274637.0,0.13206532890625,95000000.0,6046.685829162598,16084.626545190811,6046.685829162598,10036.438574790956,1.2192978858947754,0.0
8775,,,0.1278239863942254,0.1297003960803065,83274637.0,0.13206532890625,95000000.0,6167.259372472763,16356.976807832718,6167.259372472763,10188.185682058334,1.243321180343628,0.0
8943,,,0.1289729635295628,0.1297003960803065,83274637.0,0.13206532890625,95000000.0,6287.479074716568,16628.75314092636,6287.479074716568,10339.706386566162,1.273768424987793,0.0
9000,0.016460096,0.12656482,,,,,,,,,,,
9111,,,0.1282122281362425,0.1297003960803065,83274637.0,0.13206532890625,95000000.0,6407.637455701828,16900.20977807045,6407.637455701828,10490.974660634996,1.2982261180877686,0.0
9280,,,0.1286339064907727,0.1297003960803065,83274637.0,0.13206532890625,95000000.0,6527.667032718658,17166.905377149582,6527.667032718658,10637.607573270798,1.325711727142334,0.0
9453,,,0.1278467817501452,0.1297003960803065,83274637.0,0.13206532890625,95000000.0,6648.197132349014,17441.948035001755,6648.197132349014,10792.087891101835,1.3522124290466309,0.0
9500,0.008976381,0.1306217,,,,,,,,,,,
9622,,,0.1296209710761436,0.1297003960803065,83274637.0,0.13206532890625,95000000.0,6768.595697641373,17713.459176540375,6768.595697641373,10943.152333021164,1.394688844680786,0.0
9795,,,0.129076008807938,0.1297003960803065,83274637.0,0.13206532890625,95000000.0,6889.0643355846405,17981.150763750076,6889.0643355846405,11090.340146064758,1.423942804336548,0.0
9968,,,0.1268394516792687,0.1297003960803065,83274637.0,0.13206532890625,95000000.0,7009.923266887665,18249.219930887222,7009.923266887665,11237.51840376854,1.4502079486846924,0.0
10000,0.0147513095,0.12516408,,,,,,,,,,,
10139,,,0.1312942742457929,0.1297003960803065,83274637.0,0.13206532890625,95000000.0,7130.429570674896,18516.353434562683,7130.429570674896,11384.116703271866,1.4732162952423096,0.0
10306,,,0.1282395661908125,0.1297003960803065,83274637.0,0.13206532890625,95000000.0,7250.475865602493,18785.168044805527,7250.475865602493,11532.855570793152,1.4970321655273438,0.0
10476,,,0.1260093489907822,0.1297003960803065,83274637.0,0.13206532890625,95000000.0,7370.720200300217,19053.73233366013,7370.720200300217,11681.144396066666,1.5223846435546875,0.0
10500,0.014951209,0.12195929,,,,,,,,,,,
10648,,,0.1259817687689133,0.1297003960803065,83274637.0,0.13206532890625,95000000.0,7490.779628753662,19321.574851989742,7490.779628753662,11828.894605636597,1.5495703220367432,0.0
10666,,,0.1253679383944415,0.1297003960803065,83274637.0,0.13206532890625,95000000.0,7492.406150817871,19588.010620117188,7492.406150817871,12093.68048262596,1.5720419883728027,0.0
10666,,,,,,,,7492.406150817871,,,,,0.0
