global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
4034,,,0.9881040453910828,0.0413789711892604,0.1731031052507642,0.9852420091629028,0.0512686632573604,0.1528905318940395,43793.0,0.98423171043396,0.0542476549744606,0.1474598557370254,43793.0,1218.5888166427612,2084.139676094055,1218.5888166427612,865.32088804245,0.1354098320007324,0.0
4500,0.010115393,0.043859355,,,,,,,,,,,,,,,,,
4849,,,0.988204538822174,0.0405073389410972,0.1944206286154113,0.9854709506034852,0.0498734265565872,0.1716490816657216,43793.0,0.9845417141914368,0.0526445247232914,0.1660311514570627,43793.0,1458.598202943802,2442.474811553955,1458.598202943802,983.6019570827484,0.1607849597930908,0.0
5000,0.011611424,0.039085153,,,,,,,,,,,,,,,,,
5500,0.009746604,0.042252958,,,,,,,,,,,,,,,,,
5669,,,0.9883393049240112,0.039722491055727,0.2193371941569386,0.9855290055274964,0.0497006736695766,0.1824963540376239,43793.0,0.9845627546310424,0.0527021624147892,0.179471264820717,43793.0,1698.7393758296969,2798.2230608463287,1698.7393758296969,1099.1627323627472,0.1876683235168457,0.0
6000,0.011655985,0.042878944,,,,,,,,,,,,,,,,,
6478,,,0.98891282081604,0.0379282012581825,0.2396553356849682,0.9858176112174988,0.0480709820985794,0.1882255265444719,43793.0,0.9848811626434326,0.0507690086960792,0.1864685282047693,43793.0,1938.908233165741,3156.548723220825,1938.908233165741,1217.2732729911804,0.214646577835083,0.0
6500,0.007043722,0.035293613,,,,,,,,,,,,,,,,,
7000,0.008607947,0.035018515,,,,,,,,,,,,,,,,,
7285,,,0.9889923930168152,0.0375585071742534,0.2506327976129368,0.9858740568161012,0.0481980554759502,0.2032919536898693,43793.0,0.984966278076172,0.0510531328618526,0.196637210410688,43793.0,2179.098852157593,3513.17693400383,2179.098852157593,1333.6661846637726,0.2401752471923828,0.0
7500,0.00916761,0.041050572,,,,,,,,,,,,,,,,,
8000,0.00988501,0.036802996,,,,,,,,,,,,,,,,,
8093,,,0.9892497062683104,0.0366083309054374,0.2666826090638757,0.9859690070152284,0.0474497377872467,0.2084373997292699,43793.0,0.9850972294807434,0.0501539260149002,0.2030007199953716,43793.0,2419.246979236603,3870.087949991226,2419.246979236603,1450.383628129959,0.2665662765502929,0.0
8500,0.010768675,0.038401794,,,,,,,,,,,,,,,,,
8901,,,0.9892312288284302,0.0362384766340255,0.281996857452315,0.985981583595276,0.0468596555292606,0.2186658289849891,43793.0,0.9851385354995728,0.0495223142206668,0.2099779295454871,43793.0,2659.262021303177,4228.892052412033,2659.262021303177,1569.1262352466583,0.2938754558563232,0.0
9000,0.008834131,0.037643597,,,,,,,,,,,,,,,,,
9500,0.011176864,0.03685579,,,,,,,,,,,,,,,,,
9706,,,0.9894201159477234,0.0356991216540336,0.2871602391480262,0.986047387123108,0.0465821772813797,0.2198076065114814,43793.0,0.9852463603019714,0.0493173860013484,0.220462762493265,43793.0,2899.337280035019,4584.833826303482,2899.337280035019,1684.947012424469,0.3199949264526367,0.0
10000,0.0104021765,0.037026692,,,,,,,,,,,,,,,,,
10500,0.014491562,0.035259906,,,,,,,,,,,,,,,,,
10516,,,0.9896848201751708,0.0346870273351669,0.3019304039090689,0.986333966255188,0.046041939407587,0.2248991787646029,43793.0,0.985468327999115,0.0487447902560234,0.2193693607071426,43793.0,3139.3436799049377,4940.158073663712,3139.3436799049377,1800.2187502384186,0.3462367057800293,0.0
11000,0.008874459,0.0338369,,,,,,,,,,,,,,,,,
11321,,,0.9899202585220336,0.0338815338909626,0.3169519903201963,0.9863104224205016,0.046093676239252,0.2314853989177332,43793.0,0.9854274988174438,0.04879941791296,0.2307608910297682,43793.0,3379.463701248169,5300.479362487793,3379.463701248169,1920.3735365867608,0.3728978633880615,0.0
11500,0.011049096,0.032201856,,,,,,,,,,,,,,,,,
12000,0.012444373,0.03689851,,,,,,,,,,,,,,,,,
12127,,,0.9898400902748108,0.0339006520807743,0.336388867552628,0.9864143133163452,0.0458513312041759,0.233934760699651,43793.0,0.9855626821517944,0.0487557761371135,0.2293993167948892,43793.0,3619.480618000032,5656.386184930801,3619.480618000032,2036.2166798114777,0.3995664119720459,0.0
12500,0.011602928,0.03211674,,,,,,,,,,,,,,,,,
12930,,,0.9900326132774352,0.0331810563802719,0.3420091553329427,0.9864143133163452,0.0456366874277591,0.239900025755602,43793.0,0.985623300075531,0.0483269430696964,0.2344330623622547,43793.0,3859.721358060837,6014.845408916473,3859.721358060837,2154.387207508087,0.4270699024200439,0.0
13000,0.012506104,0.036416084,,,,,,,,,,,,,,,,,
13500,0.011171728,0.036383484,,,,,,,,,,,,,,,,,
13739,,,0.9901013374328612,0.0329267121851444,0.3447498642979649,0.986382246017456,0.0457633808255195,0.2401407905211247,43793.0,0.9856106638908386,0.0482834838330745,0.2315584550281117,43793.0,4099.86542057991,6370.615036010742,4099.86542057991,2269.9651188850403,0.4548242092132568,0.0
14000,0.01092538,0.03325162,,,,,,,,,,,,,,,,,
14500,0.012055425,0.033648077,,,,,,,,,,,,,,,,,
14547,,,0.9902201294898988,0.0325334072113037,0.3550890578263983,0.9863721132278442,0.0453710593283176,0.2445942358176692,43793.0,0.9856014251708984,0.0481596142053604,0.2408001793552391,43793.0,4339.959518432617,6730.624314308167,4339.959518432617,2389.8322942256927,0.4832234382629394,0.0
15000,0.016863843,0.040069852,,,,,,,,,,,,,,,,,
