global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
30892,,,0.5383848547935486,2.1873598098754883,0.5109400153160095,2.30798602104187,50000.0,0.396200031042099,2.9860281944274902,10000.0,5648.814496278763,5901.284316062927,5648.814496278763,251.1506080627441,0.329829454421997,0.0
31000,0.4379841,3.9218917,,,,,,,,,,,,,,
31500,0.43855816,3.82941,,,,,,,,,,,,,,
32000,0.43998823,4.051339,,,,,,,,,,,,,,
32500,0.45300263,3.8267405,,,,,,,,,,,,,,
33000,0.4371426,3.9257617,,,,,,,,,,,,,,
33500,0.4414079,3.9094663,,,,,,,,,,,,,,
33699,,,0.5612045526504517,2.0527260303497314,0.5278599858283997,2.2167325019836426,50000.0,0.4129000306129455,2.867882251739502,10000.0,6158.743594884872,6431.999586820602,6158.743594884872,271.8153614997864,0.3610966205596924,0.0
34000,0.4451176,3.8999758,,,,,,,,,,,,,,
34500,0.44944343,3.942821,,,,,,,,,,,,,,
35000,0.43189654,3.744202,,,,,,,,,,,,,,
35500,0.44265145,4.022738,,,,,,,,,,,,,,
36000,0.44185457,3.705549,,,,,,,,,,,,,,
36500,0.43080795,3.794255,,,,,,,,,,,,,,
36509,,,0.6098333597183228,1.8721224069595337,0.5256400108337402,2.249420166015625,50000.0,0.4086000323295593,2.9109206199646,10000.0,6668.75258231163,6961.447009801865,6668.75258231163,291.1131405830384,0.4061269760131836,0.0
37000,0.44435334,3.8629525,,,,,,,,,,,,,,
37500,0.4491767,3.9266956,,,,,,,,,,,,,,
38000,0.4500301,3.9084272,,,,,,,,,,,,,,
38500,0.45575672,3.8927436,,,,,,,,,,,,,,
39000,0.4440543,3.8539922,,,,,,,,,,,,,,
39318,,,0.5975764989852905,1.9000749588012693,0.5384399890899658,2.1795661449432373,50000.0,0.4187000095844269,2.854575157165528,10000.0,7178.742904424667,7492.493213653564,7178.742904424667,312.04736709594727,0.4363114833831787,0.0
39500,0.45459947,3.7438593,,,,,,,,,,,,,,
40000,0.45598397,3.9449577,,,,,,,,,,,,,,
40500,0.4309309,3.8574042,,,,,,,,,,,,,,
41000,0.43935743,3.680558,,,,,,,,,,,,,,
41500,0.46739805,3.8160164,,,,,,,,,,,,,,
42000,0.45627642,3.8098173,,,,,,,,,,,,,,
42126,,,0.5855787396430969,1.9755046367645264,0.5410799980163574,2.189442873001098,50000.0,0.414900004863739,2.8620636463165283,10000.0,7688.719514369965,8024.053572177887,7688.719514369965,333.4987795352936,0.477977991104126,0.0
42500,0.44708586,3.817588,,,,,,,,,,,,,,
43000,0.44475472,3.8422766,,,,,,,,,,,,,,
43500,0.45923123,3.7325034,,,,,,,,,,,,,,
44000,0.46413085,3.8731556,,,,,,,,,,,,,,
44500,0.45054018,3.8708704,,,,,,,,,,,,,,
44935,,,0.6030572056770325,1.8343355655670168,0.5600599646568298,2.044644832611084,50000.0,0.4405000209808349,2.7189035415649414,10000.0,8198.649980545044,8558.638590335846,8198.649980545044,358.0307970046997,0.5081648826599121,0.0
45000,0.4548705,3.7299361,,,,,,,,,,,,,,
45500,0.45820907,3.8199453,,,,,,,,,,,,,,
46000,0.45862442,3.8747997,,,,,,,,,,,,,,
46500,0.434549,3.6889403,,,,,,,,,,,,,,
47000,0.46784553,3.8299737,,,,,,,,,,,,,,
47500,0.4499095,3.7551613,,,,,,,,,,,,,,
