global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
16908,,,0.9896472096443176,0.0346944890916347,0.3334875193006531,0.986416757106781,0.046549092978239,0.237449798334552,43793.0,0.9854261875152588,0.0495245233178138,0.2346711423656556,43793.0,5061.741016864777,7835.508245706558,5061.741016864777,2772.764359474182,0.5806984901428223,0.0
17000,0.004894473,0.033133004,,,,,,,,,,,,,,,,,
17500,0.00643425,0.034233835,,,,,,,,,,,,,,,,,
17707,,,0.9898167848587036,0.034130785614252,0.333016436366484,0.9864492416381836,0.0454919897019863,0.2416681358724859,43793.0,0.9856346845626832,0.048101682215929,0.2399258059289587,43793.0,5301.969636917114,8197.494507551193,5301.969636917114,2894.472434520721,0.6092581748962402,0.0
18000,0.0063355784,0.03720157,,,,,,,,,,,,,,,,,
18500,0.0053463182,0.035572458,,,,,,,,,,,,,,,,,
18513,,,0.9900407195091248,0.0336119197309017,0.3292521840163297,0.9864256978034972,0.0454572327435016,0.2414647588756082,43793.0,0.9855483770370485,0.0481023006141185,0.2363313331483922,43793.0,5541.96201634407,8554.940137147903,5541.96201634407,3011.877057790756,0.6373209953308105,0.0
19000,0.008897495,0.038823135,,,,,,,,,,,,,,,,,
19315,,,0.9900639057159424,0.0334809496998786,0.3457457087036121,0.9864204525947572,0.0455227792263031,0.2419592692715293,43793.0,0.9855188727378844,0.0480283163487911,0.2340304362816998,43793.0,5782.166433095932,8919.560321807861,5782.166433095932,3136.2435569763184,0.666022539138794,0.0
19500,0.0075284056,0.03206508,,,,,,,,,,,,,,,,,
20000,0.0059911283,0.030698443,,,,,,,,,,,,,,,,,
20114,,,0.9902040362358092,0.032921377569437,0.3410747638962962,0.98651784658432,0.0450917817652225,0.2474738529253242,43793.0,0.9855892062187196,0.0479463376104831,0.2361131925923404,43793.0,6022.218946695328,9278.812786579132,6022.218946695328,3255.395132303238,0.6938948631286621,0.0
20500,0.008610737,0.03763607,,,,,,,,,,,,,,,,,
20915,,,0.9901921153068542,0.032833244651556,0.3616702299632101,0.9866693019866944,0.0450526550412178,0.2469122358468176,43793.0,0.9858360290527344,0.0477846525609493,0.2422924766363182,43793.0,6262.329718351364,9637.603274822235,6262.329718351364,3374.0255103111267,0.7228715419769287,0.0
21000,0.006481698,0.03435767,,,,,,,,,,,,,,,,,
21500,0.0070955623,0.035756268,,,,,,,,,,,,,,,,,
21685,,,0.9902804493904114,0.0323820300400257,0.3616998726525758,0.9865775108337402,0.0450150594115257,0.2480073967627573,43793.0,0.9857075810432434,0.0476527065038681,0.245258850142417,43793.0,6502.458470821381,9999.807790756226,6502.458470821381,3496.0495159626007,0.7540431022644043,0.0
22000,0.009090127,0.037852887,,,,,,,,,,,,,,,,,
22487,,,0.9903327822685242,0.0321423448622226,0.3777090384321131,0.9865458607673644,0.0450631864368915,0.2487676433466674,43793.0,0.9856696724891664,0.0477579645812511,0.2459056515754398,43793.0,6742.568008184433,10362.849860668182,6742.568008184433,3618.92864203453,0.7853474617004395,0.0
22500,0.006452251,0.03471231,,,,,,,,,,,,,,,,,
23000,0.006992099,0.034720913,,,,,,,,,,,,,,,,,
23289,,,0.9904166460037231,0.0320007130503654,0.3798967214932285,0.9865365028381348,0.0451012849807739,0.2529070265500643,43793.0,0.985605239868164,0.0479263514280319,0.2411491969855697,43793.0,6982.772907733917,10722.708332777023,6982.772907733917,3738.530680656433,0.8162612915039062,0.0
23500,0.0073915236,0.030433727,,,,,,,,,,,,,,,,,
24000,0.0065584225,0.035211056,,,,,,,,,,,,,,,,,
24092,,,0.9904586672782898,0.0317632220685482,0.3812432287274077,0.9866761565208436,0.0450600050389766,0.2522855819840074,43793.0,0.9857593774795532,0.0478163249790668,0.2474309985986365,43793.0,7222.812620639801,11078.06734585762,7222.812620639801,3853.80237531662,0.8436019420623779,0.0
24500,0.006605065,0.035448395,,,,,,,,,,,,,,,,,
