global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
7500,0.0659175,0.046027195,,,,,,,,,,,,,,,,,
8000,0.04802126,0.03703723,,,,,,,,,,,,,,,,,
8122,,,0.9885822534561156,0.0391816683113575,0.2103183085526328,0.9856284260749816,0.0486932732164859,0.1918198949382209,43793.0,0.9847168922424316,0.0512826777994632,0.1874090341146783,43793.0,2420.286457300186,3897.0114035606384,2420.286457300186,1476.240434408188,0.2720458507537842,0.0
8500,0.041043606,0.03829999,,,,,,,,,,,,,,,,,
8929,,,0.9887849688529968,0.0383708737790584,0.2180819170182291,0.9857993125915528,0.0479911677539348,0.1999188996726625,43793.0,0.9849056005477904,0.0506560206413269,0.1946034092140479,43793.0,2660.294540166855,4256.978956699371,2660.294540166855,1596.1477723121643,0.3037993907928467,0.0
9000,0.047176346,0.04401682,,,,,,,,,,,,,,,,,
9500,0.029667655,0.038394917,,,,,,,,,,,,,,,,,
9733,,,0.9889710545539856,0.0376314334571361,0.226781729507266,0.9859166741371156,0.0473138578236103,0.2001414343184024,43793.0,0.9850319623947144,0.0500449277460575,0.2028566988078058,43793.0,2900.277312278748,4616.750051021576,2900.277312278748,1715.8894956111908,0.3299183845520019,0.0
10000,0.03265639,0.035656407,,,,,,,,,,,,,,,,,
10500,0.03236083,0.04009196,,,,,,,,,,,,,,,,,
10535,,,0.9891827702522278,0.0369573906064033,0.2624199996035301,0.9860400557518004,0.0469561591744422,0.2166174621518795,43793.0,0.9851511716842652,0.0496425256133079,0.2098676557799556,43793.0,3140.355771303177,4975.040405511856,3140.355771303177,1834.0504338741305,0.3601968288421631,0.0
11000,0.038687024,0.03505897,,,,,,,,,,,,,,,,,
11339,,,0.9892692565917968,0.0363185964524745,0.265456507051378,0.9861407279968262,0.0466475524008274,0.2175729062400231,43793.0,0.9852438569068908,0.0493950359523296,0.214842948493096,43793.0,3380.480853796005,5336.932815074921,3380.480853796005,1955.7705969810488,0.3865301609039306,0.0
11500,0.03804639,0.039701868,,,,,,,,,,,,,,,,,
12000,0.04386995,0.03846599,,,,,,,,,,,,,,,,,
12156,,,0.989429235458374,0.0358784087002277,0.2803460912253085,0.9861833453178406,0.0461579486727714,0.2285980413139176,43793.0,0.9852661490440368,0.0489432476460933,0.2239147225651674,43793.0,3620.7080216407776,5696.765793085098,3620.7080216407776,2075.329130411148,0.412938117980957,0.0
12500,0.044129763,0.038716972,,,,,,,,,,,,,,,,,
12968,,,0.9894845485687256,0.0354187861084938,0.2879518361699949,0.9862824082374572,0.0459072403609752,0.2309126999578651,43793.0,0.9854333400726318,0.0485064052045345,0.2279723798337183,43793.0,3860.760322570801,6052.679210662842,3860.760322570801,2191.142496109009,0.4399683475494385,0.0
13000,0.03981993,0.034812603,,,,,,,,,,,,,,,,,
13500,0.030154767,0.036341593,,,,,,,,,,,,,,,,,
13766,,,0.989542841911316,0.0354004390537738,0.2914965546646352,0.9862954020500184,0.0458555854856967,0.2330661175180648,43793.0,0.9854245185852052,0.0481790378689765,0.2267719154415499,43793.0,4100.829528808594,6412.598387718201,4100.829528808594,2310.945030450821,0.466719388961792,0.0
14000,0.033769753,0.03492546,,,,,,,,,,,,,,,,,
14500,0.032304335,0.03206483,,,,,,,,,,,,,,,,,
14569,,,0.9897654056549072,0.0343653820455074,0.3046663107128832,0.986381471157074,0.0453730709850788,0.2393889000678359,43793.0,0.9855656027793884,0.0480586066842079,0.2309949084136777,43793.0,4340.907742738724,6771.515719175339,4340.907742738724,2429.73672413826,0.4936976432800293,0.0
15000,0.024919448,0.0293152,,,,,,,,,,,,,,,,,
