global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
80500,0.22202954,1.5708406,,,,,,,,,,,,,,,,,
81000,0.22593006,1.6004754,,,,,,,,,,,,,,,,,
81500,0.2205958,1.5632619,,,,,,,,,,,,,,,,,
82000,0.22895874,1.6334449,,,,,,,,,,,,,,,,,
82445,,,0.6743976473808289,1.530717134475708,34.55061700289805,0.6797063946723938,1.503297209739685,29.76743024477529,3000.0,0.6929754614830017,1.4087291955947876,29.301034914418047,3003.0,29441.463753700256,47181.34526705742,29441.463753700256,17736.52965450287,1.009713888168335,0.0
82500,0.22299336,1.6073848,,,,,,,,,,,,,,,,,
83000,0.23031256,1.591485,,,,,,,,,,,,,,,,,
83500,0.22961804,1.591001,,,,,,,,,,,,,,,,,
84000,0.23608558,1.7456765,,,,,,,,,,,,,,,,,
84500,0.23139168,1.6711982,,,,,,,,,,,,,,,,,
84801,,,0.6736806035041809,1.5392768383026123,34.373158435533924,0.6791608333587646,1.5018540620803833,29.74972442866625,3000.0,0.6930218935012817,1.4062680006027222,29.30900212133315,3003.0,30281.44095182419,48502.030096530914,30281.44095182419,18217.14319062233,1.037631273269653,0.0
85000,0.23187922,1.7117919,,,,,,,,,,,,,,,,,
85500,0.23008434,1.6242024,,,,,,,,,,,,,,,,,
86000,0.22761941,1.6456561,,,,,,,,,,,,,,,,,
86500,0.2237606,1.6141841,,,,,,,,,,,,,,,,,
87000,0.22665861,1.5776184,,,,,,,,,,,,,,,,,
