global_step,grad_norm,loss,train/loss,validation/loss,validation/num_examples,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
2604,,,0.1223550859206127,0.1255957238516692,83274637.0,0.1278899383943256,95000000.0,1818.5135910511017,6725.854421854019,1818.5135910511017,4906.920119047165,0.330573558807373,0.0
2772,,,0.1249645870624098,0.1255404939970648,83274637.0,0.1280375599300987,95000000.0,1938.6138694286344,7001.023332118988,1938.6138694286344,5061.959703922272,0.3535680770874023,0.0
2942,,,0.1241019747260981,0.1255229327057889,83274637.0,0.1278756830386513,95000000.0,2059.7532625198364,7274.913640975952,2059.7532625198364,5214.683004617691,0.3750703334808349,0.0
3000,0.017312206,0.12452255,,,,,,,,,,,
3114,,,0.1238393500072401,0.1253213192293771,83274637.0,0.1277907135176809,95000000.0,2180.626472234726,7545.171762943268,2180.626472234726,5364.038871049881,0.3980789184570312,0.0
3280,,,0.1243842654164482,0.1253703843824621,83274637.0,0.1278306266344572,95000000.0,2301.02455163002,7815.312426805496,2301.02455163002,5513.755568742752,0.4181158542633056,0.0
3458,,,0.1232365085362638,0.1252682842019623,83274637.0,0.1276778966899671,95000000.0,2421.952827692032,8086.93297958374,2421.952827692032,5664.419347047806,0.4402065277099609,0.0
3500,0.00555345,0.12946478,,,,,,,,,,,
3626,,,0.1242742240428924,0.1250132132912359,83274637.0,0.1273840916529605,95000000.0,2542.134447813034,8353.920348882675,2542.134447813034,5811.194124698639,0.4652845859527588,0.0
3795,,,0.1242155942995593,0.1249796242263265,83274637.0,0.1274917381270559,95000000.0,2662.538522720337,8614.375497341156,2662.538522720337,5951.215406179428,0.4889626502990722,0.0
3963,,,0.1215670564733211,0.1251213023150134,83274637.0,0.1274699986842105,95000000.0,2782.567374229431,8877.751650094986,2782.567374229431,6094.535807847977,0.5098962783813477,0.0
4000,0.0092186155,0.11637421,,,,,,,,,,,
4134,,,0.1226094906341354,0.1247323373295671,83274637.0,0.1271499596628289,95000000.0,2902.959949016571,9139.23431301117,2902.959949016571,6235.5994119644165,0.5304808616638184,0.0
4303,,,0.1220146398874198,0.1249931361341449,83274637.0,0.1273612897203947,95000000.0,3023.275255918503,9408.028228521349,3023.275255918503,6384.048043727875,0.554480791091919,0.0
4472,,,0.1232290872893993,0.1247869132860945,83274637.0,0.1272033984683388,95000000.0,3143.847748994828,9680.55193400383,3143.847748994828,6535.971926212311,0.5756454467773438,0.0
4500,0.008420504,0.12418867,,,,,,,,,,,
4639,,,0.1225161139132841,0.1249675421224742,83274637.0,0.1274104169202302,95000000.0,3264.3826990127563,9945.339216947556,3264.3826990127563,6680.196882486343,0.5970909595489502,0.0
4807,,,0.1211203964626264,0.124504470548983,83274637.0,0.1269743082853618,95000000.0,3384.3856303691864,10214.643136262894,3384.3856303691864,6829.468868494034,0.6201989650726318,0.0
4974,,,0.1240095504612292,0.1248257167894499,83274637.0,0.1271772137438322,95000000.0,3504.4920194149017,10480.780037641523,3504.4920194149017,6975.472341299057,0.6412858963012695,0.0
5000,0.006394811,0.12170367,,,,,,,,,,,
5146,,,0.1216374860151009,0.1245685186929274,83274637.0,0.1270187224506579,95000000.0,3624.7433757781982,10744.7484498024,3624.7433757781982,7119.154141187668,0.6703791618347168,0.0
5314,,,0.1214827723660559,0.1245122384734922,83274637.0,0.1268880136101973,95000000.0,3744.965136289597,11013.633011102676,3744.965136289597,7267.782253265381,0.6989274024963379,0.0
5481,,,0.1215861820199954,0.124572754723476,83274637.0,0.1269242692845394,95000000.0,3864.964122056961,11282.60345196724,3864.964122056961,7416.726633071899,0.7201194763183594,0.0
5500,0.01015608,0.1232772,,,,,,,,,,,
5649,,,0.1222999986706289,0.1245269473337662,83274637.0,0.1269578258429276,95000000.0,3985.148787260056,11556.09846830368,3985.148787260056,7570.005583047867,0.7455096244812012,0.0
5816,,,0.1222322683945392,0.1244911641452877,83274637.0,0.1268896113178454,95000000.0,4105.325268268585,11826.704360485077,4105.325268268585,7720.392364501953,0.7821109294891357,0.0
5985,,,0.1232464096549921,0.1245282337867621,83274637.0,0.1269042343030427,95000000.0,4225.304925203323,12099.539812088013,4225.304925203323,7873.213907003403,0.810250997543335,0.0
6000,0.0066382987,0.11796586,,,,,,,,,,,
6158,,,0.1240370902437833,0.1243757471475078,83274637.0,0.1267183467105263,95000000.0,4345.639629602432,12379.085680246351,4345.639629602432,8032.393202543259,0.8358597755432129,0.0
6327,,,0.1229264833173661,0.1244079511587213,83274637.0,0.126833416169819,95000000.0,4466.122906446457,12652.46684384346,4466.122906446457,8185.258936405182,0.8616881370544434,0.0
6495,,,0.1232858456249507,0.124281924078291,83274637.0,0.126672749712171,95000000.0,4586.589813709259,12916.967513561249,4586.589813709259,8329.26518535614,0.8831233978271484,0.0
6500,0.0189325,0.122995906,,,,,,,,,,,
6663,,,0.1229874122442689,0.1243295938110033,83274637.0,0.1266936612047697,95000000.0,4706.579119205475,13191.312245368958,4706.579119205475,8483.591983318329,0.9057960510253906,0.0
6831,,,0.1224509738151382,0.1242638247987049,83274637.0,0.1267290832339638,95000000.0,4826.638483047485,13462.37453508377,4826.638483047485,8634.56647825241,0.928074836730957,0.0
7000,0.0072569936,0.12807511,,,,,,,,,,,
7001,,,0.1241536452054227,0.1242450629899623,83274637.0,0.1266462488692434,95000000.0,4947.007377386093,13729.055393457413,4947.007377386093,8780.846737146378,0.9535160064697266,0.0
7168,,,0.1238552982795913,0.1242097715384667,83274637.0,0.1266032909539473,95000000.0,5067.524134159088,14000.094252824783,5067.524134159088,8931.338992357254,0.9774575233459472,0.0
7341,,,0.1227248514410834,0.1241855303546684,83274637.0,0.1265395802425986,95000000.0,5189.375959634781,14276.216595888138,5189.375959634781,9085.576388120651,1.0043892860412598,0.0
7500,0.009339006,0.12516809,,,,,,,,,,,
7509,,,0.1242988931495438,0.124193714212768,83274637.0,0.1264799502055921,95000000.0,5309.640488862991,14550.527242183683,5309.640488862991,9239.591262578964,1.029554843902588,0.0
7678,,,0.1232724884208643,0.124155824431123,83274637.0,0.1265031339124177,95000000.0,5429.801173686981,14822.394619703293,5429.801173686981,9391.265887260435,1.055837869644165,0.0
7845,,,0.1229424068481667,0.1241501608481943,83274637.0,0.1264902542763158,95000000.0,5549.819905281067,15089.51276063919,5549.819905281067,9538.324207782744,1.0907785892486572,0.0
8000,0.0068928218,0.11639982,,,,,,,,,,,
8014,,,0.123735507376164,0.1241490923299521,83274637.0,0.1264899643708881,95000000.0,5670.167506933212,15356.767590045927,5670.167506933212,9685.184237003326,1.1316077709197998,0.0
