global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
17500,0.44141802,2.3382082,,,,,,,,,,,,,,,,,
18000,0.44693255,2.2428184,,,,,,,,,,,,,,,,,
18500,0.4535312,2.2859774,,,,,,,,,,,,,,,,,
18985,,,0.6170119643211365,1.9861655235290527,29.130296003246443,0.612292468547821,2.023553371429444,24.46074302879396,3000.0,0.6166289448738098,1.9903719425201416,23.1778212618428,3003.0,6758.1156215667725,12777.2118537426,6758.1156215667725,6018.278962135315,0.2138388156890869,0.0
19000,0.43501857,2.1229293,,,,,,,,,,,,,,,,,
19500,0.43508092,2.164963,,,,,,,,,,,,,,,,,
20000,0.43898383,2.2324488,,,,,,,,,,,,,,,,,
20500,0.4610228,2.1409743,,,,,,,,,,,,,,,,,
21000,0.40222752,2.101217,,,,,,,,,,,,,,,,,
21357,,,0.6118479371070862,2.020354747772217,29.323991583626714,0.6203518509864807,1.9466265439987185,25.223630033063053,3000.0,0.62579745054245,1.9064064025878904,23.811507225729045,3003.0,7598.215554952621,14085.8356487751,7598.215554952621,6486.62804889679,0.312896728515625,0.0
21500,0.42541373,2.0899491,,,,,,,,,,,,,,,,,
22000,0.45051417,2.2172036,,,,,,,,,,,,,,,,,
22500,0.43480748,2.0474308,,,,,,,,,,,,,,,,,
23000,0.40282866,2.05099,,,,,,,,,,,,,,,,,
23500,0.4159685,2.0443408,,,,,,,,,,,,,,,,,
23729,,,0.6130566000938416,1.9910234212875368,29.008670164352345,0.6288080811500549,1.8797252178192136,25.45348854405818,3000.0,0.6346173882484436,1.8363406658172607,24.40175743920315,3003.0,8438.309606075287,15406.34621143341,8438.309606075287,6966.937338113785,0.3428270816802978,0.0
24000,0.407162,2.0701585,,,,,,,,,,,,,,,,,
24500,0.39393052,2.0162663,,,,,,,,,,,,,,,,,
25000,0.39430073,2.0633755,,,,,,,,,,,,,,,,,
