global_step,grad_norm,loss,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
13531,,,0.7496128763471331,0.2642804043633597,0.7242906320343275,0.2860161347139666,3554.0,0.7415812731255236,0.2873160866378106,3581.0,3261.655672311783,3631.5897467136383,3261.655672311783,367.0952599048615,2.37054705619812,0.0
13877,,,0.7505784034729004,0.2640639543533325,0.7258914911015757,0.2855101989505663,3554.0,0.743051775538432,0.2868089886292236,3581.0,3341.7762727737427,3715.756669044495,3341.7762727737427,371.1041703224182,2.396162509918213,0.0
14000,0.062052645,0.23935339,,,,,,,,,,,,,,
14220,,,0.7509380749293736,0.2632750443049839,0.725252287805114,0.285428452371008,3554.0,0.7425188385751187,0.2866905316797857,3581.0,3421.887570381165,3799.916529417038,3421.887570381165,375.1152317523956,2.4217562675476074,0.0
14500,0.01998015,0.30152732,,,,,,,,,,,,,,
14569,,,0.7511305809020996,0.2638240712029593,0.7256912463289603,0.2858348668258916,3554.0,0.7428640170125315,0.2871628936793144,3581.0,3501.9959304332733,3884.0729899406433,3501.9959304332733,379.12407636642456,2.4487650394439697,0.0
14918,,,0.7520192010062081,0.2635609252112252,0.726968553808209,0.2853387715646103,3554.0,0.7440956965800405,0.2866017997547821,3581.0,3581.9911918640137,3968.117004871368,3581.9911918640137,383.1347050666809,2.474793672561645,0.0
15000,0.027456203,0.2808633,,,,,,,,,,,,,,
15264,,,0.7496320179530552,0.2636717728206089,0.7242796408975802,0.2857149432197876,3554.0,0.7415167780037001,0.287010484752426,3581.0,3661.962712049484,4052.136521577835,3661.962712049484,387.1446199417114,2.500639200210572,0.0
15500,0.057795927,0.2756172,,,,,,,,,,,,,,
15611,,,0.7515478815351214,0.2633928912026541,0.7262315293946962,0.2852697334869161,3554.0,0.7434866062857791,0.2865495082553756,3581.0,3742.155375957489,4136.377328634262,3742.155375957489,391.1531503200531,2.528327226638794,0.0
15962,,,0.7510555131094796,0.2634877307074411,0.7256075076058667,0.2853516861502884,3554.0,0.7428822201811645,0.2866271273845469,3581.0,3822.177717924118,4220.451174736023,3822.177717924118,395.1664164066314,2.554285049438477,0.0
16000,0.06590095,0.18702662,,,,,,,,,,,,,,
16307,,,0.7520042828151158,0.2635492937905447,0.7266551690217009,0.2858204237852595,3554.0,0.7437555632155822,0.2870723550727799,3581.0,3902.351639270784,4304.674817323685,3902.351639270784,399.17266178131104,2.5856730937957764,0.0
16500,0.057647493,0.25596625,,,,,,,,,,,,,,
16655,,,0.752307823726109,0.2631157125745501,0.7268351488859384,0.2852398856811867,3554.0,0.7440065896833985,0.2865241465372801,3581.0,3982.449723958969,4388.8205580711365,3982.449723958969,403.181179523468,2.612855195999145,0.0
17000,0.085283644,0.22931583,,,,,,,,,,,,,,
17001,,,0.7513113021850586,0.2638038056237357,0.7256318254959201,0.2860840049833814,3554.0,0.7428775159915177,0.2873174842593723,3581.0,4062.412317276001,4472.77664399147,4062.412317276001,407.13610887527466,2.639600276947021,0.0
17346,,,0.750521183013916,0.2637161357062204,0.724796979965356,0.2858453599267551,3554.0,0.7421228685248534,0.2870628444284941,3581.0,4142.534110546112,4556.949683666229,4142.534110546112,411.1488199234009,2.666435956954956,0.0
17500,0.062146656,0.29812682,,,,,,,,,,,,,,
17694,,,0.7521333694458008,0.2630492108208792,0.7264064945527926,0.2854929050838404,3554.0,0.7435991659539933,0.2868120224906625,3581.0,4222.523984193802,4640.989744901657,4222.523984193802,415.1574034690857,2.695960521697998,0.0
18000,0.034916535,0.28728327,,,,,,,,,,,,,,
18041,,,0.7520873887198312,0.2630547114780971,0.7267417929181907,0.2851013973581703,3554.0,0.7439142103070022,0.2863608975212057,3581.0,4302.715563058853,4725.225828409195,4302.715563058853,419.1633689403534,2.722861051559448,0.0
18387,,,0.7518959726606097,0.262977089200701,0.7263772993458075,0.2851285832479688,3554.0,0.7435510332309411,0.2863272523387322,3581.0,4382.748386859894,4809.2954959869385,4382.748386859894,423.1621949672699,2.748999118804932,0.0
18500,0.024533005,0.24077141,,,,,,,,,,,,,,
